GENE	TCGA-04-1348	TCGA-04-1357	TCGA-04-1362	TCGA-04-1364	TCGA-04-1365	TCGA-04-1514	TCGA-04-1519	TCGA-09-0364	TCGA-09-0366	TCGA-09-0367	TCGA-09-0369	TCGA-09-1662
AARS2	3.1485	3.0481	3.5172	3.4484	2.6469	4.0023	2.1171	4.4944	2.9748	1.8324	3.363	3.8689
AARSD1	3.8646	4.5203	4.5493	4.5376	3.0612	4.3178	3.7993	4.6596	3.7599	3.8072	4.9204	3.9091
AARS	6.7528	5.1958	5.1639	5.6916	6.1281	6.2494	6.6821	6.9188	5.8795	4.71	6.5962	5.2297
AASDHPPT	4.6545	4.5464	4.7864	5.2703	3.9153	6.0264	5.6049	4.7541	3.3707	3.7952	4.9504	5.2419
AASDH	2.0943	2.0913	2.8387	2.7535	2.2843	3.3309	2.9439	3.1619	2.4325	1.7447	3.2268	1.8674
AASS	1.0798	1.2528	1.1623	2.5261	0.2838	2.7004	2.5821	2.7935	0.2024	0.2609	2.66	3.1621
AATF	5.1054	5.4052	5.0851	5.6896	5.6514	6.2365	5.3279	5.6926	4.9665	4.5936	6.0338	5.9101
AATK	0.7118	0.5054	1.6491	0.6819	1.3801	4.2841	0.2974	3.184	1.4551	2.4856	5.8184	2.0166
ABAT	2.4623	2.3516	1.2723	1.8	3.856	3.7024	5.1012	4.4372	2.0022	1.4914	3.7281	3.8819
ABCA10	0.3804	0.5216	1.273	0.2981	0.1703	0.5402	0	0.4011	0.2361	0.0972	1.4796	0.4415
ABCA11P	1.9999	1.6669	1.8627	3.7968	2.4103	3.0839	2.1719	3.1836	1.035	1.3805	2.9754	3.1167
ABCA12	0.0154	0.041	0.0215	0.0053	0.0843	0.0838	0.1076	0.0252	0.0936	0.0727	0.05	0.0146
ABCA13	0.4342	0.2777	0.4407	0.1459	2.6036	0.3477	0.3606	0.855	1.0959	0.0509	0.2598	0.4407
ABCA17P	0.2934	1.0491	2.2914	1.0825	0.1996	1.044	1.5971	1.0852	1.2269	1.0693	0.8022	0.3631
ABCA1	2.0968	2.9288	3.5506	1.7567	3.003	2.8732	2.9765	1.6089	3.0551	1.6368	1.8091	3.137
ABCA2	1.4934	3.0331	4.562	3.9035	3.5812	4.6867	3.9063	3.8667	5.1497	3.4079	3.7676	3.6355
ABCA3	2.7597	3.5453	3.3783	3.0132	1.6797	3.9201	3.5734	4.3084	4.6963	2.8539	3.1237	3.4923
ABCA4	0.6731	0.1388	0.5603	0.1058	0.1494	0.4762	2.1562	1.2759	1.3916	0.8611	0.0921	2.0901
ABCA5	0.5666	1.0481	2.3576	0.5197	0.7731	1.6252	0.5426	0.5083	1.0008	0.1557	0.9629	0.6944
ABCA6	0.2585	0.3272	0.364	0.1121	0.2304	0.3291	0	0.5395	0.0845	0	1.2196	0.7634
ABCA7	2.4846	2.8647	3.1534	1.6879	0.9626	1.7932	0.3378	1.3593	4.2142	1.9594	1.29	2.4171
ABCA8	0.0045	0.123	0.1585	0.1026	0.0102	0.3497	0.0546	1.2776	0.0421	0.0487	1.8958	1.046
ABCA9	0.3335	0.4246	0.5063	0.1286	0.1031	0.4934	0.0443	0.6889	0.0574	0.0083	1.113	0.4279
ABCB10	2.6213	3.3346	2.4967	3.1788	2.8197	3.8172	3.2322	3.1176	2.3593	1.9287	2.7426	3.654
ABCB11	0	0	0.0781	0.0269	0.045	0.0131	0	0	0.0494	0	0	0
ABCB1	0.5861	1.0833	0.3331	0.2074	0.3926	0.6077	0.3284	0.2179	0.3856	0.2255	0.1809	0.8625
ABCB4	0.1396	0.1372	0.2838	0.1301	0.1226	0.1977	0.1998	0.1059	0.3022	0.0524	0.0606	0.1002
ABCB5	0.1276	0	0.04	0.114	0.0135	0.5435	0.319	0.126	0.0154	0.1117	0.6947	0
ABCB6	4.3971	2.7662	3.8449	4.6225	3.5977	4.2015	3.8388	3.9741	2.8304	2.5909	4.0135	3.7619
ABCB7	3.8744	3.3284	4.1032	2.9139	3.3959	4.3194	3.8025	3.6208	3.7834	2.8197	2.8929	3.7894
ABCB8	4.504	3.9026	4.1939	4.6607	3.6884	4.4113	3.2653	4.0718	4.0988	3.6652	4.4985	3.4917
ABCB9	3.0112	2.033	2.8643	3.4824	3.4951	2.8172	3.2677	3.5678	3.2926	1.9637	4.3145	2.1893
ABCC10	3.1254	3.3448	3.7272	3.3722	2.7497	3.2366	2.3233	4.2148	3.5914	2.4674	4.5592	3.9299
ABCC11	0.0267	0.0937	0	0.022	0.0346	0.5721	0.2935	0.189	0.0972	0.0528	0.3947	0.0172
ABCC12	0	0.0122	0	0	0	0.0178	0	0.1743	0	0	0.0881	0.0129
ABCC13	0.1418	0	0.3974	0.0612	0	0	0	0.0192	0.0294	0.0463	0.052	0
ABCC1	4.6079	3.2271	4.0541	4.3245	4.024	5.2229	3.5866	5.3891	3.9958	3.1083	4.2341	4.6948
ABCC2	0.0149	0.0871	0.4472	0.1913	0.0909	0.2139	0.0533	0.2015	0.1389	0.0443	0.0263	0.2417
ABCC3	2.7377	2.3971	2.0112	0.1017	3.3727	1.6733	1.6162	1.6908	5.107	2.3582	1.2468	3.4614
ABCC4	4.636	3.8867	3.6765	4.2617	4.3204	3.894	5.7176	6.6674	3.7285	2.9999	3.0612	5.6679
ABCC5	4.6172	3.7043	5.047	4.1223	3.7409	6.0185	3.8798	4.6008	4.0957	2.7796	4.6069	4.3762
ABCC6P1	0.4428	0.1422	0.6468	0.2384	0.1077	0.164	0.1476	0.3631	0.2116	0	0.3361	0.0559
ABCC6P2	1.4281	1.3926	1.2354	2.5902	2.0298	2.5324	1.2941	1.1894	1.6068	0.6625	2.5823	0.855
ABCC6	2.2347	2.3791	1.5335	2.591	1.4173	2.5899	1.5756	1.9932	2.6087	0.4989	2.8131	1.0908
ABCC8	0.0125	0	0	0	0	0.4355	0	0	0	0	0.1573	0
ABCC9	0.6037	0.5658	0.3617	0.4599	0.721	0.5285	0.214	0.1271	0.1144	0.3738	1.8009	0.9468
ABCD1	4.7589	4.7661	4.7781	4.8914	4.9468	4.986	4.3002	3.8072	5.3487	3.5491	4.207	4.5891
ABCD2	0.1522	0.4512	0.0196	0.0397	0.0649	0.0976	0.0085	0.0193	0.0452	0.0188	0.031	0.114
ABCD3	3.6647	3.0386	4.1191	3.5025	4.1491	4.6508	4.0708	3.0338	4.6058	3.0348	3.7388	3.7891
ABCD4	3.5196	3.0588	3.7422	4.1673	3.7621	5.5368	4.3821	4.4719	5.0306	2.7703	4.8418	4.3329
ABCE1	5.0578	4.0456	4.5823	5.1635	4.9659	5.1433	4.603	4.2022	3.8195	3.2734	3.9391	4.2835
ABCF1	6.1347	5.3257	5.7043	6.3977	5.7862	6.3521	4.6315	6.0877	5.3601	4.2518	5.4011	5.9513
ABCF2	5.145	4.7766	5.4381	5.5874	4.9191	6.1073	5.372	5.3887	4.662	4.2401	4.7938	5.4516
ABCF3	6.0879	5.1823	6.4277	6.0572	6.0318	6.4494	5.3044	5.8735	5.672	5.0694	7.1729	5.6033
ABCG1	4.4898	3.9634	3.0362	3.0476	3.0985	3.1941	3.3387	2.9274	3.812	2.7948	4.1053	2.6068
ABCG2	1.2139	1.1355	1.3126	0.8443	0.6854	1.6644	0.9446	0.7774	1.0164	1.0201	0.5392	0.8166
ABCG4	0.3832	0.6733	1.3568	2.0156	0.194	0.8042	1.3588	0.4267	0.2365	0.3056	0.2494	0.8236
ABCG5	0.3071	0.1161	0.2378	0.363	0.329	0.4422	0.1981	0.2552	0.9534	0.2352	0.7093	0.0632
ABCG8	0.2334	0.0218	0.0537	0.0328	0.0887	2.2456	0.8929	0.1528	0.5292	0.1037	1.2221	0
ABHD10	5.2659	3.7966	4.6872	4.8046	3.9194	4.6954	4.6705	4.8322	4.2803	3.1463	4.7572	3.9602
ABHD11	6.6385	7.5376	7.1122	7.7502	7.2632	6.9631	6.1237	5.3293	6.8664	6.9467	6.2847	6.3938
ABHD12B	0.0193	0.0431	0.1567	0.5849	0.0453	0.7318	0.2594	0.1168	1.1097	0.0576	0.0753	0.6042
ABHD12	6.046	5.6008	5.8996	7.3039	6.3981	5.8042	4.4287	6.2536	5.9806	6.2001	6.7854	5.7819
ABHD13	2.4683	2.072	3.0961	2.4226	1.5248	2.7675	2.644	2.8587	2.2655	1.9685	2.5828	2.1389
ABHD14A	5.1305	5.0272	4.9513	5.0895	3.9781	4.7756	6.3359	4.9112	5.2616	5.1385	6.5413	5.269
ABHD14B	7.4446	7.1317	6.3827	5.72	4.8885	5.2598	6.2623	5.3116	6.1044	5.5197	5.4104	7.2275
ABHD15	2.5672	2.7389	2.7505	2.3077	2.2754	3.0043	2.7143	2.8262	3.2557	1.9301	2.9428	2.3258
ABHD1	1.8654	0.6548	0.7498	1.3355	0.3632	2.7827	2.9198	1.3371	1.7887	1.4058	2.0438	1.4868
ABHD2	3.2341	3.6291	3.2811	3.2055	3.2293	4.0561	3.1211	3.5376	3.214	3.0376	3.1939	4.8192
ABHD3	4.5759	3.7559	3.7302	2.3677	3.5395	2.5995	0.5609	2.6349	4.0429	1.9971	3.8893	2.3278
ABHD4	5.0482	5.2516	5.9126	4.5486	4.5366	6.5364	6.1017	4.7077	4.8705	4.9355	5.139	5.4917
ABHD5	2.3636	2.5324	3.8509	2.6253	2.5607	3.0569	2.5147	2.5429	3.0333	1.7592	2.1587	2.5896
ABHD6	2.2528	1.9068	1.8138	2.7208	1.0419	2.2548	2.9139	2.6436	1.9941	1.7935	2.0763	2.0698
ABHD8	4.7132	3.6744	5.4936	5.1695	5.4853	5.063	4.6124	5.7232	6.0321	4.0023	5.1422	4.5031
ABI1	4.6368	5.395	4.6675	4.3429	4.9173	5.2	5.1684	3.7655	4.7976	5.0303	4.6039	5.311
ABI2	3.6425	4.1091	4.3681	3.9295	4.0859	5.4078	5.001	4.611	3.6833	3.1475	3.7144	4.8135
ABI3BP	0.9364	2.1541	0.7884	0.525	0.3435	1.6201	1.641	0.7878	1.5247	3.7981	1.1408	2.6153
ABI3	3.8305	4.486	2.7902	0.9361	3.5909	1.5168	1.3273	0.9764	5.6669	2.5841	2.6937	3.0847
ABL1	4.0499	4.1804	5.9347	4.1432	5.3279	6.5005	4.7002	5.947	4.3288	2.9853	5.5285	5.0554
ABL2	1.9159	2.1717	1.9773	2.1938	1.8486	2.8328	2.2347	2.0618	1.4627	0.9279	1.8811	2.291
ABLIM1	5.2587	4.8043	6.6026	5.8595	5.1261	6.2748	5.2773	5.9869	4.2829	4.2981	4.3629	6.4552
ABLIM2	1.0839	0.5097	1.1721	1.8279	2.2661	2.4135	1.197	2.3238	2.5056	1.8317	1.7302	2.2612
ABLIM3	0.9167	0.7109	2.2489	0.6074	0.764	1.9341	0.4921	0.9026	1.5218	0.284	2.0567	1.743
ABO	0.9795	1.3804	5.3913	0.4603	2.2092	3.4893	1.6306	0.9844	1.5168	1.3132	0.3703	1.9526
ABP1	2.0415	0.8896	8.3827	4.4505	5.4511	3.8383	4.2145	1.2179	3.0797	2.1881	0.1486	0.7625
ABRA	0	0	0.0895	0.0473	0.0542	0.0155	0	0	0	0.0093	0.0491	0.0443
ABR	3.0374	3.6129	3.8273	2.7038	3.4329	5.1121	1.7373	4.7171	4.9244	2.1027	5.5579	5.019
ABT1	5.2312	5.2282	5.2274	5.9953	4.9641	5.411	4.39	6.6577	5.1883	5.0129	5.7221	5.3779
ABTB1	3.8052	5.3817	6.1612	4.0328	4.2857	3.786	3.6658	3.9224	5.9883	4.2856	4.0153	4.7267
ABTB2	0.7551	1.3737	3.1389	1.7847	2.5964	3.5544	4.6258	2.1274	2.1508	0.7302	1.0017	2.3508
ACAA1	5.4358	5.2195	5.8521	5.1463	3.9495	5.059	4.6232	5.79	5.8834	5.2888	5.2264	5.3461
ACAA2	5.6559	4.9228	3.8119	5.611	6.1677	6.6407	5.4512	5.3873	4.6236	5.2606	6.9733	5.1881
ACACA	3.4635	2.6852	3.618	4.2207	3.751	4.8801	3.8664	4.6852	3.2442	2.9206	4.4077	3.5342
ACACB	1.7358	0.9424	2.6695	2.0771	2.5194	3.2806	1.9702	3.149	1.8285	1.4942	4.4474	2.3479
ACAD10	3.6621	2.5514	3.4482	3.2276	3.5948	3.9195	4.2286	5.5484	3.5637	3.0462	4.8335	2.9316
ACAD11	2.7037	2.6129	3.4926	2.7321	2.527	2.8717	2.9069	3.2339	3.6011	1.2763	2.648	2.7205
ACAD8	2.9097	3.754	4.3563	3.9819	3.7872	3.2561	4.5071	3.7919	3.3095	3.9296	4.2025	4.1519
ACAD9	5.4967	4.9503	5.808	5.7899	5.7335	4.8129	5.0562	5.473	5.4501	4.2721	5.1493	5.473
ACADL	0.1862	0	0.0291	0.2301	0.0122	0.6211	0.0467	0.1827	0.0092	0.0105	0.041	0.1713
ACADM	5.1776	4.0613	4.7133	4.7552	4.3947	5.4681	5.5384	4.1623	5.1805	4.0164	5.3571	4.319
ACADSB	2.3854	2.7603	2.8965	2.1222	1.7575	3.4405	2.8382	2.4244	1.7177	1.4926	2.2391	2.5768
ACADS	3.9707	2.698	4.229	3.5976	3.288	3.3672	3.2425	4.7151	4.9912	2.8697	4.0257	2.4191
ACADVL	5.83	5.9571	6.8791	6.3537	6.4899	6.3025	6.1972	5.9229	7.5091	5.6257	7.1768	5.7447
ACAN	0.1556	0.3275	0.0243	0.0723	0.3404	0.121	0.0053	0.5131	0.0026	0.0298	1.6139	0.3838
ACAP1	2.3256	3.0578	0.9022	0.8741	2.1006	0.5521	0.6062	0.2	2.3195	1.0326	0.476	1.9172
ACAP2	4.0403	3.0421	4.97	3.4553	4.5437	2.7992	3.5252	3.0631	3.1496	2.2168	3.5515	3.4409
ACAP3	3.4044	3.2604	4.4164	3.365	4.3057	3.8349	2.4899	4.265	5.0812	3.0328	6.2816	3.2746
ACAT1	4.0458	4.3334	4.1763	4.5856	3.2478	4.4018	4.4893	3.9393	3.5458	3.0625	4.6909	3.9946
ACAT2	4.3635	3.4062	3.9383	4.2801	4.2845	4.2281	3.3273	4.3712	4.1323	3.7335	4.9646	2.5572
ACBD3	4.7364	5.4716	4.4191	4.8341	4.8596	5.4629	5.1583	4.3534	4.618	4.3271	4.4173	4.8063
ACBD4	3.5681	4.0076	3.527	3.4657	2.5041	3.5273	3.8647	2.8659	4.1981	3.321	3.7184	3.2972
ACBD5	3.2991	3.1969	2.538	3.4287	2.9713	4.0423	3.2941	2.6778	3.2391	2.8486	2.8295	2.7792
ACBD6	4.9239	4.6216	4.3738	5.5277	4.7004	5.6822	5.449	5.3773	4.6943	4.2419	5.1388	4.9861
ACBD7	3.433	1.2592	4.1207	3.9773	3.2557	5.3048	3.3681	2.2054	2.5922	1.1228	3.2226	2.8304
ACCN1	0.0075	0	0.3337	0.6023	1.1166	0.1468	0.0174	0.0453	0.039	0.0847	0.0293	0.298
ACCN2	0.786	0.5061	3.4602	1.9101	0.5564	2.4882	1.165	2.3463	0.9389	0.7495	2.2011	2.2744
ACCN3	1.2799	0.4612	2.2426	0.1814	1.0699	2.0311	0.987	0.2645	3.0495	0.2211	0.3262	0.5755
ACCN4	0.0305	0.0242	0.0689	0.144	0.0748	0.1409	0.1721	0.1153	0.09	0.0431	0.4463	0.0394
ACCN5	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL	0	0	0	0	0	0	0.0264	0	0	0	0	0
ACCS	3.5724	3.2422	3.3724	2.8735	3.6328	3.4247	3.287	3.7984	3.9181	2.5254	4.5077	3.1036
ACD	3.7707	4.1989	3.327	4.3683	4.1825	5.2451	4.2706	5.2814	4.6432	3.3981	5.6042	3.9172
ACE2	0.0722	0.677	0.4507	0.1666	0.4702	0.6803	0.091	0.1452	1.6679	0.3545	0.0195	0.086
ACER1	0.0257	0	0.0365	0	0.0305	0	0	0	0	0	0	0.031
ACER2	1.1391	2.3142	1.8707	0.727	2.5726	1.7822	1.419	1.3227	1.3885	0.6063	1.185	1.5853
ACER3	2.753	2.4886	3.8138	2.8517	2.9033	4.1416	2.7314	2.543	6.2864	1.1245	2.7223	2.6604
ACE	3.7955	5.2574	4.5276	2.2768	3.6159	4.7419	4.0861	2.9781	3.6978	3.5797	4.2355	4.1055
ACHE	1.0164	0.5336	2.3689	1.443	0.2851	1.0497	1.6599	0.702	0.4678	0.3318	1.0308	1.1444
ACIN1	6.4433	5.9386	5.9774	6.1809	6.2799	6.9948	6.2114	7.0346	5.9121	4.7001	6.2158	6.3212
ACLY	4.7478	4.7426	5.0744	5.6568	4.8606	5.6124	4.6444	5.8862	4.4733	4.4396	5.9261	4.8907
ACMSD	0	0	0	0	0	0	0.04	0.1326	0	0	0	0
ACN9	4.6504	3.5135	4.0719	5.4909	4.3467	4.5919	4.4023	4.1072	4.2409	4.7177	4.4998	4.0459
ACO1	3.5047	3.4295	3.6448	3.9468	2.8897	4.3038	2.6351	3.7407	4.3678	2.8733	3.9368	4.2382
ACO2	6.122	6.3317	6.3706	6.1005	5.9642	5.2289	5.7025	6.4308	6.1461	6.1844	7.092	6.1304
ACOT11	2.4956	2.399	2.3125	1.4358	2.217	2.477	2.3607	2.4358	4.0912	2.3815	2.1092	1.6991
ACOT12	0	0	0	0	0	0	0	0	0.0351	0	0	0
ACOT13	4.2096	4.262	4.2682	4.1262	4.0892	3.9881	3.299	3.7983	3.9421	3.5289	3.8614	3.5745
ACOT1	1.1142	1.0868	2.2436	1.3028	1.8421	3.4952	2.2368	2.6104	3.8069	1.5861	2.2101	2.5092
ACOT2	2.6543	2.8328	4.0169	3.2205	0.8211	4.5914	4.2985	4.0732	4.3399	3.2643	3.1749	3.9731
ACOT4	2.9344	1.4159	3.1219	2.7658	2.1469	2.9491	0.3692	2.4631	3.1841	2.6314	1.5557	2.4873
ACOT6	0.11	0.1804	0.3591	0.3439	0.0984	0.3466	0.1011	0.3208	0.0753	0.3102	0.0737	0.1631
ACOT7	5.5615	4.2904	4.7437	5.7244	6.035	5.1432	3.7125	5.7991	4.2648	3.7932	7.6	3.7295
ACOT8	5.8533	4.832	4.5503	6.7593	4.7972	5.2917	5.2494	5.7968	5.7658	5.639	6.1714	4.2164
ACOT9	4.5961	3.73	4.179	4.5366	3.9935	4.9908	3.5535	3.3075	4.8265	3.1245	4.3474	4.2235
ACOX1	3.5191	3.3642	3.9907	3.6969	3.8428	3.9528	3.1108	3.2953	2.9226	2.8395	3.7005	4.1914
ACOX2	1.62	2.4443	2.7677	1.3133	1.2934	2.241	4.5028	2.2044	1.5041	1.2741	2.4427	1.5143
ACOX3	1.8156	2.5653	1.8763	3.8026	2.7459	2.9604	3.2438	2.6331	2.4013	2.3654	3.5197	2.8339
ACOXL	0.135	0.3875	0.7884	0.2568	0.2048	0.7838	0.0394	1.0406	0.4641	0.306	0.2146	0.1726
ACP1	6.7572	5.6709	5.4779	7.5154	6.9126	7.7176	7.1122	7.8588	7.3083	7.3059	7.7384	6.7428
ACP2	5.8428	5.4124	5.7016	5.4361	5.6737	5.3547	5.4977	5.5167	5.8283	4.6531	6.8323	5.8673
ACP5	5.6157	7.0227	4.3095	5.0198	6.6422	3.9096	5.4563	1.4789	3.5911	4.4047	4.0699	4.7182
ACP6	4.2591	4.3396	4.9286	5.556	3.0331	3.8883	5.0836	3.9409	6.2891	4.4885	3.7218	4.954
ACPL2	3.9609	3.3418	4.4733	4.2222	2.8369	3.439	2.7475	4.5167	3.2976	2.3761	4.025	3.426
ACPP	3.9239	1.9501	5.5286	2.7159	4.5667	1.5034	0.8835	1.6543	3.6207	2.9425	1.8672	1.699
ACPT	0	0	0.0566	0	0	0	0	0	0.036	0	0.0787	0.0243
ACRBP	1.5227	1.7125	3.1303	1.2998	1.0331	2.6998	3.3659	2.7278	4.1947	1.1789	3.3106	1.439
ACRC	0.2172	0.5388	0.8044	0.2976	0.7178	0.3438	0.1128	0.2308	0.4621	0.168	0.8201	1.269
ACRV1	0.0641	0.1654	0.7855	0.5868	0.3309	0.4237	0.4199	0.8139	0.1821	0.0714	0.4261	0.1654
ACR	0.1153	0.0442	0.9621	0.0827	0.9775	0.3837	1.5455	0.3948	1.1987	0.4201	0.1146	0.1595
ACSBG1	0.1616	0.1688	0.3283	0.4185	0.0896	0.4823	0.1568	0.1133	0.21	0	0.1447	0.0798
ACSBG2	0.0208	0.0687	0.1663	0.2748	0.0719	0.5318	0.0559	0.0839	0.0276	0.0105	0.0676	0.2205
ACSF2	4.121	4.805	5.5291	3.4247	5.4515	5.542	4.0725	3.7984	6.1747	4.7	5.3585	3.9624
ACSF3	4.6106	3.2513	2.8283	3.1917	2.9735	4.5094	4.4914	4.0001	3.9575	3.6181	4.8873	3.8233
ACSL1	2.8345	3.2087	3.3408	3.6993	3.6167	4.6735	3.6596	2.1305	3.9384	3.2698	4.6064	3.865
ACSL3	4.8011	4.936	5.3243	4.8902	4.9887	5.2543	4.5448	4.5367	4.5986	4.0456	4.2841	4.632
ACSL4	4.3631	4.4017	3.6692	3.3235	4.0743	5.7775	6.0891	2.6935	4.2533	3.9904	2.8065	4.9147
ACSL5	5.3874	4.8693	2.9989	1.5469	4.2812	2.5253	4.6763	1.4875	3.2747	3.8821	1.1559	6.1885
ACSL6	0.0325	0.1888	0.0703	0.0175	0.0686	0.5188	0.224	2.2658	0.6385	0.1729	0.1454	0.1405
ACSM1	0.0994	0.1649	0.0877	0.2039	0.1023	0.1951	0.2106	0.5585	0.1724	0	0.4993	0.2798
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0.0183	0	0	0	0	0	0	0	0
ACSM3	2.2371	2.7664	2.4786	0.8256	3.2925	3.0545	5.2587	4.6975	1.562	1.2312	2.6573	2.5846
ACSM4	0	0	0	0	0	0	0	0	0	0	0.0401	0
ACSM5	0.0457	0.3582	0.0447	0	0.0415	0.0591	0.0447	0.0222	1.1721	0.2096	0.0915	0.1971
ACSS1	4.1811	3.1671	3.4407	4.6098	3.2461	5.3286	1.2213	5.5092	4.4176	2.9367	4.7293	4.0713
ACSS2	5.3822	5.058	4.749	6.1722	4.6843	5.2532	4.7575	3.8998	4.7902	4.7128	4.9805	4.5522
ACSS3	4.2033	1.4699	1.2571	1.5345	3.947	2.1585	2.187	2.4208	2.5365	2.9116	2.1762	2.4127
ACTA1	0.0883	0.0403	0.0506	0.66	0.1038	1.4784	0.1866	0	0.1833	0.0888	1.3537	0.1259
ACTA2	5.795	7.7763	4.3938	6.1274	5.0817	6.7241	5.7367	6.7165	4.9535	4.6527	8.0355	7.2044
ACTBL2	0.1659	0.061	0.2055	0.0156	0.3887	0.0894	0.0166	0	0.5695	0.1663	0	0.022
ACTB	12.7956	12.3522	12.3538	12.575	12.6897	11.5649	12.3629	11.8647	12.7078	11.892	12.6373	11.9023
